date,momentum_20,reversal_5,low_volatility_20,volume_price_corr_20,volume_expansion,amihud_liquidity_20,overnight_gap,random_baseline_s143,Volume-Weighted Reversal,Volume-Weighted Reversal Smoothed
2024-06-06,1.0301848188750369,1.0166486370854264,1.0301848188750369,1.033860276629881,1.033860276629881,1.0301848188750369,1.0608008033558576,0.970803888620264,1.0301848188750369,1.054093438013861
2024-06-07,1.0101940362522002,0.9969205246774302,1.0101940362522002,1.013798171584436,1.013798171584436,1.0101940362522002,1.040215916180783,0.9519653956127619,1.0101940362522002,1.03363870756413
2024-06-11,1.006519566355327,0.993294335721601,1.006519566355327,1.0101105920409925,1.0101105920409925,1.006519566355327,1.036432244991795,0.9485027260032467,1.006519566355327,1.0298789602493685
2024-06-12,0.9981267622814398,0.9850118094537804,0.9981267622814398,1.0016878444111015,1.0016878444111015,0.9981267622814398,1.0277900158103264,0.9405936919327824,0.9981267622814398,1.0212913752464354
2024-06-13,1.0063188354884283,0.9930962423712482,1.0063188354884283,1.0099091450134516,1.0099091450134516,1.0063188354884283,1.0362255486194907,0.9483135654734263,1.0063188354884283,1.0296735708030011
2024-06-14,1.0016316126727722,0.9884706076308177,1.0016316126727722,1.0052051992864006,1.0052051992864006,1.0016316126727722,1.0313990265845558,0.9438965190824326,1.0016316126727722,1.0248775665113758
2024-06-17,1.0016031131946914,0.9884424826235204,1.0016031131946914,1.005176598128868,1.005176598128868,1.0016031131946914,1.0313696801326482,0.9438696623440712,1.0016031131946914,1.0248484056149219
2024-06-18,1.0039805095542733,0.9907886410258739,1.0039805095542733,1.0075624764809294,1.0075624764809294,1.0039805095542733,1.0338177301542877,0.9461100230913729,1.0039805095542733,1.0272809767965956
2024-06-19,1.0015381329955728,0.9883783562360401,1.0015381329955728,1.0051113860956433,1.0051113860956433,1.0015381329955728,1.0313027687919214,0.9438084276715816,1.0015381329955728,1.0247819173496737
2024-06-20,0.9902678523221708,0.9772561621634305,0.9902678523221708,0.9938008957047796,0.9938008957047796,0.9902678523221708,1.0196975475021666,0.9331877777618611,0.9902678523221708,1.0132500750193039
2024-06-21,0.9954503724284898,0.9823705862029057,0.9954503724284898,0.9990019058270311,0.9990019058270311,0.9954503724284898,1.0250340865303718,0.9380715719897369,0.9954503724284898,1.0185528715043182
2024-06-24,1.0012673699660697,0.9881111509153306,1.0012673699660697,1.0048396570471714,1.0048396570471714,1.0012673699660697,1.0310239589764851,0.9435532717062439,1.0012673699660697,1.0245048704281632
2024-06-25,0.9973606211364976,0.9842557350712525,0.9973606211364976,1.0009189698542893,1.0009189698542893,0.9973606211364976,1.0270011057748187,0.9398717119646115,0.9973606211364976,1.0205074534309713
2024-06-26,0.9978232407923722,0.9847122761054597,0.9978232407923722,1.0013832400285665,1.0013832400285665,0.9978232407923722,1.0274774739891512,0.9403076657397463,0.9978232407923722,1.0209808096041735
2024-06-27,0.9908072228695907,0.9777884456157503,0.9908072228695907,0.9943421905997776,0.9943421905997776,0.9908072228695907,1.020252947561968,0.933696058426892,0.9908072228695907,1.0138019633254371
2024-06-28,0.9865234852180925,0.9735609944193884,0.9865234852180925,0.9900431695772935,0.9900431695772935,0.9865234852180925,1.0158419018361755,0.9296592398932577,0.9865234852180925,1.0094188083168554
2024-07-01,0.9981451692793497,0.9850299745917197,0.9981451692793497,1.001706317080862,1.001706317080862,0.9981451692793497,1.0278089698444113,0.9406110379320843,0.9981451692793497,1.0213102094355584
2024-07-02,1.0018791633529651,0.9887149056024209,1.0018791633529651,1.005453633169346,1.005453633169346,1.0018791633529651,1.0316539342046342,0.9441298006825484,1.0018791633529651,1.0251308623693483
2024-07-03,1.0037253807194475,0.9905368644733034,1.0037253807194475,1.007306437406274,1.007306437406274,1.0037253807194475,1.0335550191649745,0.9458696001493825,1.0037253807194475,1.0270199269095164
2024-07-04,0.9836427861603753,0.9707181464981003,0.9836427861603753,0.9871521928611436,0.9871521928611436,0.9836427861603753,1.012875591501696,0.9269445873416599,0.9836427861603753,1.0064712537441252
2024-07-05,0.9791314653812788,0.9662661025177474,0.9791314653812788,0.9826247767478524,0.9826247767478524,0.9791314653812788,1.008230199122601,0.9226933038098925,0.9791314653812788,1.0018552338388678
2024-07-08,0.9899818301752833,0.976973898223522,0.9899818301752833,0.9935138530979721,0.9935138530979721,0.9899818301752833,1.0194030250847939,0.9329182422306223,0.9899818301752833,1.0129574148454819
2024-07-09,0.9884316694616443,0.9754441059494469,0.9884316694616443,0.9919581617745709,0.9919581617745709,0.9884316694616443,1.0178067952625036,0.9314574344015665,0.9884316694616443,1.0113712778667812
2024-07-10,0.9947535381000403,0.9816829079753561,0.9947535381000403,0.9983025853571734,0.9983025853571734,0.9947535381000403,1.024316543035378,0.9374149039206798,0.9947535381000403,1.0178398649839897
2024-07-11,1.0149437502142142,1.001607829457654,1.0149437502142142,1.018564831411595,1.018564831411595,1.0149437502142142,1.0451067865317138,0.9564413310950891,1.0149437502142142,1.0384986533020888
2024-07-12,1.0135839981883885,1.0002659439838033,1.0135839981883885,1.0172002281095356,1.0172002281095356,1.0135839981883885,1.0437066241385855,0.955159956597965,1.0135839981883885,1.0371073440326375
2024-07-15,1.0116506618903884,0.9983580108863849,1.0116506618903884,1.0152599941211802,1.0152599941211802,1.0116506618903884,1.0417158311658108,0.9533380598259287,1.0116506618903884,1.0351291386971897
2024-07-16,1.0191514456247546,1.0057602375751291,1.0191514456247546,1.0227875388922447,1.0227875388922447,1.0191514456247546,1.0494395301229582,0.9604064905420541,1.0191514456247546,1.0428040012747517
2024-07-17,1.0332228937949004,1.0196467930182767,1.0332228937949004,1.0369091906883334,1.0369091906883334,1.0332228937949004,1.063929166593792,0.9736668457247422,1.0332228937949004,1.0572020208414739
2024-07-18,1.0356482087453522,1.0220402403819957,1.0356482087453522,1.0393431585935553,1.0393431585935553,1.0356482087453522,1.0664265592952684,0.9759523629852263,1.0356482087453522,1.0596836227128545
2024-07-19,1.0248821997483812,1.0114156920746618,1.0248821997483812,1.0285387390021632,1.0285387390021632,1.0248821997483812,1.0553405960936417,0.9658069180051756,1.0248821997483812,1.0486677552399697
2024-07-22,1.0090677752740755,0.9958090622801652,1.0090677752740755,1.0126678923713595,1.0126678923713595,1.0090677752740755,1.0390561839380896,0.9509040534951816,1.0090677752740755,1.032486308222982
2024-07-23,0.9963211868050592,0.983229958456188,0.9963211868050592,0.9998758270650049,0.9998758270650049,0.9963211868050592,1.0259307805733373,0.9388921917150049,0.9963211868050592,1.0194438958168999
2024-07-24,0.9922877721530263,0.9792495411236287,0.9922877721530263,0.995828022135723,0.995828022135723,0.9922877721530263,1.0217774971772413,0.9350912673013765,0.9922877721530263,1.0153168733257905
2024-07-25,0.999868119360416,0.9867302858558629,0.999868119360416,1.0034354142436173,1.0034354142436173,0.999868119360416,1.0295831241482312,0.9422346753687383,0.999868119360416,1.023073145892398
2024-07-26,0.9979617906890986,0.9848490055166242,0.9979617906890986,1.0015222842388207,1.0015222842388207,0.9979617906890986,1.0276201414397477,0.94043822947554,0.9979617906890986,1.021122574978989
2024-07-29,0.9847230437271082,0.9717842099488504,0.9847230437271082,0.9882363045334484,0.9882363045334484,0.9847230437271082,1.0139879531611045,0.927962577732589,0.9847230437271082,1.007576582022697
2024-07-30,1.0071780104007961,0.9939441280978409,1.0071780104007961,1.0107713852603464,1.0107713852603464,1.0071780104007961,1.037110257285901,0.9491232166453809,1.0071780104007961,1.0305526855216804
2024-07-31,0.9986169531827438,0.9854955594592082,0.9986169531827438,1.0021797841985436,1.0021797841985436,0.9986169531827438,1.0282947746578397,0.9410556277179285,0.9986169531827438,1.021792942540936
2024-08-01,0.9870748790606477,0.9741051431859595,0.9870748790606477,0.990596530663723,0.990596530663723,0.9870748790606477,1.0164096825105078,0.9301788508181192,0.9870748790606477,1.0099829989558065
2024-08-02,0.981650615404476,0.9687521520020466,0.981650615404476,0.9851529145073453,0.9851529145073453,0.981650615404476,1.0108242155742309,0.9250672473914026,0.981650615404476,1.0044328485155471
2024-08-05,0.9657700442851337,0.9530802447007453,0.9657700442851337,0.9692156852357934,0.9692156852357934,0.9657700442851337,0.9944716909665162,0.9101020489981634,0.9657700442851337,0.988183719716415
2024-08-06,0.9705360056397176,0.9577835833898464,0.9705360056397176,0.9739986504224073,0.9739986504224073,0.9705360056397176,0.9993792915650442,0.9145932953563619,0.9705360056397176,0.993060289917848
2024-08-07,0.9742198349598603,0.9614190087901818,0.9742198349598603,0.9776956227813466,0.9776956227813466,0.9742198349598603,1.0031726003292916,0.918064784902202,0.9742198349598603,0.9968296138701906
2024-08-08,0.9765624352612585,0.9637308283394673,0.9765624352612585,0.9800465809310518,0.9800465809310518,0.9765624352612585,1.005584820191334,0.9202723552725011,0.9765624352612585,0.9992265814437272
2024-08-09,0.9790592762690895,0.9661948619391881,0.9790592762690895,0.9825523300818458,0.9825523300818458,0.9790592762690895,1.0081558646276627,0.9226252757536201,0.9790592762690895,1.0017813693554658
2024-08-12,0.9820626070521632,0.9691587302581397,0.9820626070521632,0.9855663760445792,0.9855663760445792,0.9820626070521632,1.0112484511704414,0.9254554914096853,0.9820626070521632,1.0048544017013317
2024-08-13,0.9758112653795794,0.9629895285042954,0.9758112653795794,0.9792927310514575,0.9792927310514575,0.9758112653795794,1.004811326348926,0.9195644836083227,0.9758112653795794,0.99845797834591
2024-08-14,0.9864292682195894,0.9734680153913895,0.9864292682195894,0.9899486164346426,0.9899486164346426,0.9864292682195894,1.0157448848098412,0.9295704536610742,0.9864292682195894,1.0093224047220326
2024-08-15,0.9950622487549975,0.9819875623061769,0.9950622487549975,0.9986123974193243,0.9986123974193243,0.9950622487549975,1.0246344282388704,0.9377058201706575,0.9950622487549975,1.018155740222756
2024-08-16,1.0067512402921095,0.9935229655633177,1.0067512402921095,1.0103430925360313,1.0103430925360313,1.0067512402921095,1.03667080402873,0.9487210460120453,1.0067512402921095,1.0301160108950846
2024-08-19,1.0062553176180706,0.9930335590981634,1.0062553176180706,1.0098454005262338,1.0098454005262338,1.0062553176180706,1.036160143066363,0.9482537088395392,1.0062553176180706,1.0296085788043678
2024-08-20,1.0063629130538105,0.9931397407765354,1.0063629130538105,1.0099533798372469,1.0099533798372469,1.0063629130538105,1.0362709361226952,0.9483551023618473,1.0063629130538105,1.0297186713243658
2024-08-21,1.0165476393935469,1.0031906442286829,1.0165476393935469,1.0201744428912507,1.0201744428912507,1.0165476393935469,1.0467583415718937,0.9579527704248908,1.0165476393935469,1.040139765681402
2024-08-22,1.0277247617347331,1.0142209040291648,1.0277247617347331,1.0313914425828241,1.0313914425828241,1.0277247617347331,1.0582676359640248,0.9684856317460828,1.0277247617347331,1.0515762876528558
2024-08-23,1.0303540151289174,1.0168156101739017,1.0303540151289174,1.0340300765363024,1.0340300765363024,1.0303540151289174,1.060975027940372,0.9709633322251381,1.0303540151289174,1.0542665609891604
2024-08-26,1.02610181015495,1.0126192773293616,1.02610181015495,1.029762700692545,1.029762700692545,1.02610181015495,1.0565964520093618,0.966956228792527,1.02610181015495,1.04991567047124
2024-08-27,1.015411137200989,1.0020690751821015,1.015411137200989,1.0190338859254908,1.0190338859254908,1.015411137200989,1.0455880637568924,0.9568817774071862,1.015411137200989,1.038976887446823
2024-08-28,1.0020162180692926,0.988850159479209,1.0020162180692926,1.0055911768647485,1.0055911768647485,1.0020162180692926,1.0317950620396792,0.9442589554217048,1.0020162180692926,1.0252710978634878
2024-08-29,1.0112778018226691,0.9979900500382688,1.0112778018226691,1.0148858037762116,1.0148858037762116,1.0112778018226691,1.041331890098025,0.9529866918024239,1.0112778018226691,1.0347476252604948
2024-08-30,0.9997470962364927,0.9866108529233076,0.9997470962364927,1.0033139593375797,1.0033139593375797,0.9997470962364927,1.0294585043472693,0.9421206281442355,0.9997470962364927,1.0229493140532582
2024-09-02,1.0056330474023145,0.9924194652432006,1.0056330474023145,1.0092209101963312,1.0092209101963312,1.0056330474023145,1.0355193796492714,0.9476673069297457,1.0056330474023145,1.0289718668871644
2024-09-03,1.0047097240658327,0.9915082739749692,1.0047097240658327,1.0082942926587943,1.0082942926587943,1.0047097240658327,1.0345686161365975,0.9467972049159252,1.0047097240658327,1.0280271149821485
2024-09-04,0.9996247354731576,0.9864900999273422,0.9996247354731576,1.0031911620197467,1.0031911620197467,0.9996247354731576,1.0293325071536914,0.9420053203832552,0.9996247354731576,1.0228241135306542
2024-09-05,0.998701222300556,0.9855787213173554,0.998701222300556,1.0022643539687992,1.0022643539687992,0.998701222300556,1.0283815481631724,0.9411350394756676,0.998701222300556,1.0218791673837855
2024-09-06,0.9807625420816612,0.9678757475775891,0.9807625420816612,0.9842616727472551,0.9842616727472551,0.9807625420816612,1.0099097496677067,0.9242303635435998,0.9807625420816612,1.003524164709591
2024-09-09,0.9796262581985661,0.9667543939719785,0.9796262581985661,0.9831213348698346,0.9831213348698346,0.9796262581985661,1.0087396966500901,0.9231595762517719,0.9796262581985661,1.0023615098510195
2024-09-10,0.9776477905663449,0.9648019225465,0.9776477905663449,0.9811358085292454,0.9811358085292454,0.9776477905663449,1.0067024310883963,0.9212951495628142,0.9776477905663449,1.0003371257694091
2024-09-11,0.9843975829402407,0.9714630255755898,0.9843975829402407,0.9879096825788461,0.9879096825788461,0.9843975829402407,1.013652820029803,0.9276558768458206,0.9843975829402407,1.0072435679134986
2024-09-12,0.9729347808192477,0.9601508397037253,0.9729347808192477,0.9764059838690314,0.9764059838690314,0.9729347808192477,1.001849355762161,0.9168538026260736,0.9729347808192477,0.9955147360809885
2024-09-13,0.9771432497961001,0.9643040112231868,0.9771432497961001,0.9806294676758965,0.9806294676758965,0.9771432497961001,1.006182895909276,0.9208196910501796,0.9771432497961001,0.9998208755729578
2024-09-18,0.982954923794816,0.9700393223457398,0.982954923794816,0.9864618763640349,0.9864618763640349,0.982954923794816,1.0121672866066775,0.9262963740821696,0.982954923794816,1.0057674274087844
2024-09-19,0.9864254552172353,0.9734642524902334,0.9864254552172353,0.9899447898283911,0.9899447898283911,0.9864254552172353,1.0157409584891601,0.929566860444163,0.9864254552172353,1.0093185032271876
2024-09-20,1.000491101649076,0.9873450824274012,1.000491101649076,1.0040606191869335,1.0040606191869335,1.000491101649076,1.0302246208002683,0.9428217483068089,1.000491101649076,1.023710586408356
2024-09-23,1.0511922921441048,1.037380081265442,1.0511922921441048,1.0549426996352702,1.0549426996352702,1.0511922921441048,1.0824325961293526,0.9906004691619658,1.0511922921441048,1.0755884545550263
2024-09-24,1.0823681199464346,1.0681462722095671,1.0823681199464346,1.0862297554774238,1.0862297554774238,1.0823681199464346,1.114534935993096,1.0199792896482816,1.0823681199464346,1.1074878136884403
2024-09-25,1.142708039745528,1.1276933516283658,1.142708039745528,1.1467849539547592,1.1467849539547592,1.142708039745528,1.1766680932912243,1.076841153370912,1.142708039745528,1.1692281076096445
2024-09-26,1.1893531813723768,1.173725596321485,1.1893531813723768,1.1935965145040934,1.1935965145040934,1.1893531813723768,1.2246994783435128,1.1207976202561811,1.1893531813723768,1.2169557937521953
2024-09-27,1.2724235427488757,1.255704449172214,1.2724235427488757,1.2769632514418752,1.2769632514418752,1.2724235427488757,1.310238601487921,1.1990797191337983,1.2724235427488757,1.3019540593216954
2024-09-30,1.360162480713504,1.3422905355391908,1.360162480713504,1.3650152213538158,1.3650152213538158,1.360162480713504,1.4005850462939162,1.2817612929629363,1.360162480713504,1.391729250212019
2024-10-08,1.2325489388558495,1.216353780283078,1.2325489388558495,1.236946384316646,1.236946384316646,1.2325489388558495,1.269178967266744,1.1615035291072222,1.2325489388558495,1.2611540421432834
2024-10-09,1.278651411426938,1.2618504863565063,1.278651411426938,1.2832133396943382,1.2832133396943382,1.278651411426938,1.3166515557227718,1.2049486069485906,1.278651411426938,1.3083264649192914
2024-10-10,1.240139308250127,1.2238444155150103,1.240139308250127,1.2445638343682397,1.2445638343682397,1.240139308250127,1.2769949142732335,1.1686563816721394,1.240139308250127,1.2689205694925665
2024-10-11,1.269621147108131,1.252938875794955,1.269621147108131,1.2741508575109197,1.2741508575109197,1.269621147108131,1.307352921663723,1.1964388565083348,1.269621147108131,1.2990866254384692
2024-10-14,1.2349158555630588,1.2186895967311466,1.2349158555630588,1.2393217456273933,1.2393217456273933,1.2349158555630588,1.271616226192017,1.1637340142602732,1.2349158555630588,1.2635758904598984
2024-10-15,1.224685812716059,1.2085939722109897,1.224685812716059,1.2290552043874587,1.2290552043874587,1.224685812716059,1.261082157477713,1.1540936417808334,1.224685812716059,1.253108427886145
2024-10-16,1.203888912552528,1.1880703342972185,1.203888912552528,1.2081841057630476,1.2081841057630476,1.203888912552528,1.2396671958159053,1.1344954966906637,1.203888912552528,1.2318288714495187
2024-10-17,1.2396620902893953,1.223373467991341,1.2396620902893953,1.244084913805778,1.244084913805778,1.2396620902893953,1.276503513908129,1.1682066710537051,1.2396620902893953,1.268432276215775
2024-10-18,1.2329160420150393,1.2167160598659468,1.2329160420150393,1.237314797213786,1.237314797213786,1.2329160420150393,1.2695569803368725,1.1618494720564256,1.2329160420150393,1.2615296650646142
2024-10-21,1.240205707954403,1.2239099427559657,1.240205707954403,1.2446304709710831,1.2446304709710831,1.240205707954403,1.2770632873052836,1.1687189540280247,1.240205707954403,1.2689885102069718
2024-10-22,1.245614730695776,1.2292478932840913,1.245614730695776,1.2500587918366535,1.2500587918366535,1.245614730695776,1.282633060383171,1.1738161950422095,1.245614730695776,1.2745230660199522
2024-10-23,1.2334079511331741,1.2172015055115815,1.2334079511331741,1.2378084613482536,1.2378084613482536,1.2334079511331741,1.2700635084647722,1.1623130270185873,1.2334079511331741,1.2620329904524719
2024-10-24,1.2442709907442016,1.2279218094927797,1.2442709907442016,1.24871025773617,1.24871025773617,1.2442709907442016,1.2812493859259138,1.1725499096666325,1.2442709907442016,1.273148140434368
2024-10-25,1.2389964928244075,1.222716616188413,1.2389964928244075,1.2434169416451828,1.2434169416451828,1.2389964928244075,1.2758181356025724,1.1675794393226344,1.2389964928244075,1.2677512315067603
2024-10-28,1.2216040375130706,1.2055526901977849,1.2216040375130706,1.2259624341335236,1.2259624341335236,1.2216040375130706,1.257908795231255,1.1511895033232493,1.2216040375130706,1.249955130575425
2024-10-29,1.2065260068462083,1.1906727783154325,1.2065260068462083,1.210830608590512,1.210830608590512,1.2065260068462083,1.242382661714846,1.136980586111569,1.2065260068462083,1.2345271676575993
2024-10-30,1.1975072322530849,1.1817725065095521,1.1975072322530849,1.2017796571254236,1.2017796571254236,1.1975072322530849,1.233095858843767,1.1284816631171932,1.1975072322530849,1.2252990845570166
2024-10-31,1.2056641995899118,1.1898222948327688,1.2056641995899118,1.2099657266081032,1.2099657266081032,1.2056641995899118,1.2414952424740775,1.1361684543267427,1.2056641995899118,1.2336453595033237
2024-11-01,1.2175347552581055,1.2015368765470424,1.2175347552581055,1.221878633634117,1.221878633634117,1.2175347552581055,1.2537185782856566,1.1473547787528295,1.2175347552581055,1.2457914080629258
2024-11-04,1.2402466684335776,1.2239503650322063,1.2402466684335776,1.2446715775876385,1.2446715775876385,1.2402466684335776,1.2771054650858316,1.1687575535023462,1.2402466684335776,1.2690304213005201
2024-11-05,1.221608095154799,1.2055566945238607,1.221608095154799,1.225966506251966,1.225966506251966,1.221608095154799,1.2579129734617303,1.1511933270782653,1.221608095154799,1.2499592823872567
2024-11-06,1.2617181104871047,1.2451396816480484,1.2617181104871047,1.2662196247092634,1.2662196247092634,1.2617181104871047,1.2992150152968924,1.1889913591825845,1.2617181104871047,1.2910001744541661
2024-11-07,1.2415519135767303,1.225238459820186,1.2415519135767303,1.2459814795392545,1.2459814795392545,1.2415519135767303,1.2784495007103758,1.1699875629505143,1.2415519135767303,1.2703659586868112
2024-11-08,1.2341569426431558,1.2179406555979158,1.2341569426431558,1.2385601250842315,1.2385601250842315,1.2341569426431558,1.2708347591966196,1.1630188458746913,1.2341569426431558,1.2627993646227516
2024-11-11,1.2361109595249724,1.2198689975452472,1.2361109595249724,1.2405211134398748,1.2405211134398748,1.2361109595249724,1.2728468473579122,1.1648602311800667,1.2361109595249724,1.264798730498809
2024-11-12,1.2495905805251968,1.2331715021708454,1.2495905805251968,1.254048826565541,1.254048826565541,1.2495905805251968,1.2867270681920584,1.1775628727297986,1.2495905805251968,1.2785911877190255
2024-11-13,1.242078519665449,1.2257581465332568,1.242078519665449,1.246509964434957,1.246509964434957,1.242078519665449,1.2789917569654956,1.1704838149135914,1.242078519665449,1.2709047862955722
2024-11-14,1.219874330729974,1.2038457110117464,1.219874330729974,1.2242265561624102,1.2242265561624102,1.219874330729974,1.2561276834234893,1.149559498647936,1.219874330729974,1.2481852806064253
2024-11-15,1.2281081195094907,1.2119713113772088,1.2281081195094907,1.232489721168665,1.232489721168665,1.2281081195094907,1.2646061715471173,1.1573186832318842,1.2281081195094907,1.2566101598741652
2024-11-18,1.2292965294512845,1.2131441061277106,1.2292965294512845,1.233682371078333,1.233682371078333,1.2292965294512845,1.2658298997538167,1.1584385919818774,1.2292965294512845,1.2578261505375523
2024-11-19,1.2260076012708883,1.2098983930373906,1.2260076012708883,1.2303817087737638,1.2303817087737638,1.2260076012708883,1.2624432281663303,1.155339241061129,1.2260076012708883,1.2544608926250544
2024-11-20,1.2236100802086627,1.207532374362259,1.2236100802086627,1.227975633918841,1.227975633918841,1.2236100802086627,1.2599744553575358,1.1530799156200888,1.2236100802086627,1.2520077296848824
2024-11-21,1.1929358062950401,1.1772611471062375,1.1929358062950401,1.1971919213920061,1.1971919213920061,1.1929358062950401,1.2283885750244694,1.1241737389318454,1.1929358062950401,1.2206215645465748
2024-11-22,1.189803560307287,1.174170057472493,1.189803560307287,1.194048500285386,1.194048500285386,1.189803560307287,1.225163242055823,1.1212220388783087,1.189803560307287,1.217416625120714
2024-11-25,1.186863254120473,1.1712683856339363,1.186863254120473,1.1910977037758865,1.1910977037758865,1.186863254120473,1.222135553132499,1.1184512150148682,1.186863254120473,1.2144080800514354
2024-11-26,1.2005228288871077,1.1847484795114893,1.2005228288871077,1.2048060127007847,1.2048060127007847,1.2005228288871077,1.236201075765388,1.1313234376077315,1.2005228288871077,1.2283846674207701
2024-11-27,1.1901092635327977,1.1744717438901857,1.1901092635327977,1.194355294188288,1.194355294188288,1.1901092635327977,1.2254780304523016,1.1215101210502179,1.1901092635327977,1.2177294231333484
2024-11-28,1.1991493962568391,1.1833930931904058,1.1991493962568391,1.2034276799850951,1.2034276799850951,1.1991493962568391,1.234786826194971,1.1300291710705106,1.1991493962568391,1.2269793600462144
2024-11-29,1.2008219698819724,1.1850436899234014,1.2008219698819724,1.205106220960541,1.205106220960541,1.2008219698819724,1.2365091069087857,1.1316053358028313,1.2008219698819724,1.2286907509059373
2024-12-02,1.2066302734022332,1.1907756748541245,1.2066302734022332,1.2109352471451478,1.2109352471451478,1.2066302734022332,1.2424900269607386,1.1370788426342688,1.2066302734022332,1.234633854040951
2024-12-03,1.2110963954087577,1.1951831139541769,1.2110963954087577,1.21541730322725,1.21541730322725,1.2110963954087577,1.2470888773083684,1.141287532697981,1.2110963954087577,1.2392036261965798
